orderid,ordedate,cutomerid,store,productid,cost,salesproce,quantity,amountcost,amountsales,profit
A1000020,2020/08/19,A00056,A,229,46,86,1,46,86,40
A1000020,2020/08/19,A00056,A,350,130,300,1,130,300,170
A1000020,2020/08/19,A00056,A,359,90,150,1,90,150,60
A1000020,2020/08/19,A00056,A,383,40,65,1,40,65,25
A1000020,2020/08/19,A00056,A,390,100,170,1,100,170,70
A1000020,2020/08/19,A00056,A,407,95,165,1,95,165,70
A1000020,2020/08/19,A00056,A,444,100,170,4,400,680,280
A1000021,2020/03/21,A00058,A,219,400,550,1,400,550,150
A1000021,2020/03/21,A00058,A,229,46,86,1,46,86,40
A1000021,2020/03/21,A00058,A,359,90,150,6,540,900,360
A1000021,2020/03/21,A00058,A,383,40,65,1,40,65,25
A1000021,2020/03/21,A00058,A,390,100,170,1,100,170,70
A1000021,2020/03/21,A00058,A,407,95,165,2,190,330,140
A1000021,2020/03/21,A00058,A,444,100,170,1,100,170,70
A1000022,2020/12/28,A00064,A,219,400,550,1,400,550,150
A1000022,2020/12/28,A00064,A,229,46,86,1,46,86,40
A1000022,2020/12/28,A00064,A,359,90,150,1,90,150,60
A1000022,2020/12/28,A00064,A,383,40,65,1,40,65,25
A1000022,2020/12/28,A00064,A,390,100,170,1,100,170,70
A1000022,2020/12/28,A00064,A,407,95,165,1,95,165,70
A1000022,2020/12/28,A00064,A,444,100,170,1,100,170,70
A1000023,2020/08/21,A00066,A,219,400,550,1,400,550,150
A1000023,2020/08/21,A00066,A,229,46,86,1,46,86,40
A1000023,2020/08/21,A00066,A,350,130,300,1,130,300,170
A1000023,2020/08/21,A00066,A,359,90,150,1,90,150,60
A1000023,2020/08/21,A00066,A,383,40,65,1,40,65,25
A1000023,2020/08/21,A00066,A,390,100,170,1,100,170,70
A1000023,2020/08/21,A00066,A,407,95,165,1,95,165,70
A1000023,2020/08/21,A00066,A,444,100,170,1,100,170,70
A1000024,2020/09/27,A00068,A,219,400,550,1,400,550,150
A1000024,2020/09/27,A00068,A,229,46,86,1,46,86,40
A1000024,2020/09/27,A00068,A,350,130,300,1,130,300,170
A1000024,2020/09/27,A00068,A,359,90,150,1,90,150,60
A1000024,2020/09/27,A00068,A,383,40,65,1,40,65,25
A1000024,2020/09/27,A00068,A,390,100,170,1,100,170,70
A1000024,2020/09/27,A00068,A,407,95,165,1,95,165,70
A1000024,2020/09/27,A00068,A,444,100,170,1,100,170,70
A1000025,2020/05/26,A00071,A,219,400,550,1,400,550,150
A1000025,2020/05/26,A00071,A,229,46,86,1,46,86,40
A1000025,2020/05/26,A00071,A,359,90,150,1,90,150,60
A1000025,2020/05/26,A00071,A,383,40,65,1,40,65,25
A1000025,2020/05/26,A00071,A,390,100,170,2,200,340,140
A1000025,2020/05/26,A00071,A,407,95,165,1,95,165,70
A1000025,2020/05/26,A00071,A,444,100,170,1,100,170,70
A1000026,2020/11/11,A00072,A,219,400,550,1,400,550,150
A1000026,2020/11/11,A00072,A,229,46,86,5,230,430,200
A1000026,2020/11/11,A00072,A,359,90,150,1,90,150,60
A1000026,2020/11/11,A00072,A,383,40,65,1,40,65,25
A1000026,2020/11/11,A00072,A,390,100,170,6,600,1020,420
A1000026,2020/11/11,A00072,A,407,95,165,2,190,330,140
A1000026,2020/11/11,A00072,A,444,100,170,1,100,170,70
A1000027,2020/10/03,A00073,A,219,400,550,1,400,550,150
A1000027,2020/10/03,A00073,A,229,46,86,1,46,86,40
A1000027,2020/10/03,A00073,A,295,200,310,1,200,310,110
A1000027,2020/10/03,A00073,A,350,130,300,1,130,300,170
A1000027,2020/10/03,A00073,A,359,90,150,1,90,150,60
A1000027,2020/10/03,A00073,A,383,40,65,2,80,130,50
A1000027,2020/10/03,A00073,A,390,100,170,4,400,680,280
A1000027,2020/10/03,A00073,A,407,95,165,1,95,165,70
A1000027,2020/10/03,A00073,A,444,100,170,1,100,170,70
A1000028,2020/07/24,A00074,A,219,400,550,1,400,550,150
A1000028,2020/07/24,A00074,A,229,46,86,5,230,430,200
A1000028,2020/07/24,A00074,A,350,130,300,1,130,300,170
A1000028,2020/07/24,A00074,A,359,90,150,4,360,600,240
A1000028,2020/07/24,A00074,A,383,40,65,1,40,65,25
A1000028,2020/07/24,A00074,A,390,100,170,1,100,170,70
A1000028,2020/07/24,A00074,A,407,95,165,1,95,165,70
A1000028,2020/07/24,A00074,A,444,100,170,1,100,170,70
A1000029,2020/07/20,A00077,A,219,400,550,1,400,550,150
A1000029,2020/07/20,A00077,A,229,46,86,2,92,172,80
A1000029,2020/07/20,A00077,A,359,90,150,1,90,150,60
A1000029,2020/07/20,A00077,A,383,40,65,1,40,65,25
A1000029,2020/07/20,A00077,A,390,100,170,1,100,170,70
A1000029,2020/07/20,A00077,A,407,95,165,1,95,165,70
A1000029,2020/07/20,A00077,A,444,100,170,1,100,170,70
A1000030,2020/08/25,A00082,A,219,400,550,1,400,550,150
A1000030,2020/08/25,A00082,A,229,46,86,1,46,86,40
A1000030,2020/08/25,A00082,A,295,200,310,1,200,310,110
A1000030,2020/08/25,A00082,A,350,130,300,1,130,300,170
A1000030,2020/08/25,A00082,A,359,90,150,1,90,150,60
A1000030,2020/08/25,A00082,A,383,40,65,1,40,65,25
A1000030,2020/08/25,A00082,A,390,100,170,1,100,170,70
A1000030,2020/08/25,A00082,A,407,95,165,1,95,165,70
A1000030,2020/08/25,A00082,A,444,100,170,1,100,170,70
A1000031,2020/12/21,A00085,A,219,400,550,1,400,550,150
A1000031,2020/12/21,A00085,A,229,46,86,1,46,86,40
A1000031,2020/12/21,A00085,A,350,130,300,1,130,300,170
A1000031,2020/12/21,A00085,A,359,90,150,1,90,150,60
A1000031,2020/12/21,A00085,A,383,40,65,1,40,65,25
A1000031,2020/12/21,A00085,A,390,100,170,1,100,170,70
A1000031,2020/12/21,A00085,A,407,95,165,1,95,165,70
A1000031,2020/12/21,A00085,A,444,100,170,1,100,170,70
A1000032,2020/09/16,A00087,A,219,400,550,1,400,550,150
A1000032,2020/09/16,A00087,A,229,46,86,1,46,86,40
A1000032,2020/09/16,A00087,A,350,130,300,1,130,300,170
A1000032,2020/09/16,A00087,A,359,90,150,1,90,150,60
A1000032,2020/09/16,A00087,A,383,40,65,1,40,65,25
A1000032,2020/09/16,A00087,A,390,100,170,6,600,1020,420
A1000032,2020/09/16,A00087,A,407,95,165,1,95,165,70
A1000032,2020/09/16,A00087,A,444,100,170,1,100,170,70
A1000033,2020/02/04,A00090,A,219,400,550,1,400,550,150
A1000033,2020/02/04,A00090,A,229,46,86,1,46,86,40
A1000033,2020/02/04,A00090,A,350,130,300,1,130,300,170
A1000033,2020/02/04,A00090,A,359,90,150,1,90,150,60
A1000033,2020/02/04,A00090,A,383,40,65,1,40,65,25
A1000033,2020/02/04,A00090,A,390,100,170,1,100,170,70
A1000033,2020/02/04,A00090,A,407,95,165,1,95,165,70
A1000033,2020/02/04,A00090,A,444,100,170,1,100,170,70
A1000034,2020/01/27,A00091,A,219,400,550,1,400,550,150
A1000034,2020/01/27,A00091,A,229,46,86,2,92,172,80
A1000034,2020/01/27,A00091,A,359,90,150,1,90,150,60
A1000034,2020/01/27,A00091,A,383,40,65,1,40,65,25
A1000034,2020/01/27,A00091,A,390,100,170,2,200,340,140
A1000034,2020/01/27,A00091,A,407,95,165,1,95,165,70
A1000034,2020/01/27,A00091,A,444,100,170,2,200,340,140
A1000035,2020/03/17,A00093,A,219,400,550,1,400,550,150
A1000035,2020/03/17,A00093,A,229,46,86,2,92,172,80
A1000035,2020/03/17,A00093,A,359,90,150,1,90,150,60
A1000035,2020/03/17,A00093,A,383,40,65,1,40,65,25
A1000035,2020/03/17,A00093,A,390,100,170,1,100,170,70
A1000035,2020/03/17,A00093,A,407,95,165,1,95,165,70
A1000035,2020/03/17,A00093,A,444,100,170,1,100,170,70
A1000036,2020/02/26,A00101,A,219,400,550,1,400,550,150
A1000036,2020/02/26,A00101,A,229,46,86,1,46,86,40
A1000036,2020/02/26,A00101,A,350,130,300,1,130,300,170
A1000036,2020/02/26,A00101,A,359,90,150,1,90,150,60
A1000036,2020/02/26,A00101,A,383,40,65,1,40,65,25
A1000036,2020/02/26,A00101,A,390,100,170,1,100,170,70
A1000036,2020/02/26,A00101,A,407,95,165,1,95,165,70
A1000036,2020/02/26,A00101,A,444,100,170,1,100,170,70
A1000037,2020/07/14,A00102,A,219,400,550,1,400,550,150
A1000037,2020/07/14,A00102,A,229,46,86,2,92,172,80
A1000037,2020/07/14,A00102,A,359,90,150,1,90,150,60
A1000037,2020/07/14,A00102,A,383,40,65,1,40,65,25
A1000037,2020/07/14,A00102,A,390,100,170,1,100,170,70
A1000037,2020/07/14,A00102,A,407,95,165,1,95,165,70
A1000037,2020/07/14,A00102,A,444,100,170,1,100,170,70
A1000038,2020/11/10,A00109,A,219,400,550,1,400,550,150
A1000038,2020/11/10,A00109,A,229,46,86,1,46,86,40
A1000038,2020/11/10,A00109,A,359,90,150,1,90,150,60
A1000038,2020/11/10,A00109,A,383,40,65,5,200,325,125
A1000038,2020/11/10,A00109,A,390,100,170,4,400,680,280
A1000038,2020/11/10,A00109,A,407,95,165,1,95,165,70
A1000038,2020/11/10,A00109,A,444,100,170,1,100,170,70
A1000039,2020/11/09,A00111,A,219,400,550,1,400,550,150
A1000039,2020/11/09,A00111,A,229,46,86,1,46,86,40
A1000039,2020/11/09,A00111,A,350,130,300,1,130,300,170
A1000039,2020/11/09,A00111,A,359,90,150,1,90,150,60
A1000039,2020/11/09,A00111,A,383,40,65,1,40,65,25
A1000039,2020/11/09,A00111,A,390,100,170,1,100,170,70
A1000039,2020/11/09,A00111,A,407,95,165,1,95,165,70
A1000039,2020/11/09,A00111,A,444,100,170,1,100,170,70
A1000040,2020/08/03,A00113,A,219,400,550,1,400,550,150
A1000040,2020/08/03,A00113,A,229,46,86,1,46,86,40
A1000040,2020/08/03,A00113,A,359,90,150,1,90,150,60
A1000040,2020/08/03,A00113,A,383,40,65,1,40,65,25
A1000040,2020/08/03,A00113,A,390,100,170,2,200,340,140
A1000040,2020/08/03,A00113,A,407,95,165,1,95,165,70
A1000040,2020/08/03,A00113,A,444,100,170,1,100,170,70
A1000041,2020/05/21,A00115,A,219,400,550,2,800,1100,300
A1000041,2020/05/21,A00115,A,229,46,86,1,46,86,40
A1000041,2020/05/21,A00115,A,359,90,150,1,90,150,60
A1000041,2020/05/21,A00115,A,383,40,65,1,40,65,25
A1000041,2020/05/21,A00115,A,390,100,170,2,200,340,140
A1000041,2020/05/21,A00115,A,407,95,165,4,380,660,280
A1000041,2020/05/21,A00115,A,444,100,170,1,100,170,70
A1000042,2020/02/15,A00116,A,219,400,550,1,400,550,150
A1000042,2020/02/15,A00116,A,229,46,86,1,46,86,40
A1000042,2020/02/15,A00116,A,359,90,150,1,90,150,60
A1000042,2020/02/15,A00116,A,383,40,65,4,160,260,100
A1000042,2020/02/15,A00116,A,390,100,170,1,100,170,70
A1000042,2020/02/15,A00116,A,407,95,165,1,95,165,70
A1000042,2020/02/15,A00116,A,444,100,170,1,100,170,70
A1000043,2020/12/10,A00119,A,219,400,550,1,400,550,150
A1000043,2020/12/10,A00119,A,229,46,86,1,46,86,40
A1000043,2020/12/10,A00119,A,359,90,150,1,90,150,60
A1000043,2020/12/10,A00119,A,383,40,65,1,40,65,25
A1000043,2020/12/10,A00119,A,390,100,170,1,100,170,70
A1000043,2020/12/10,A00119,A,407,95,165,1,95,165,70
A1000043,2020/12/10,A00119,A,444,100,170,1,100,170,70
A1000044,2020/07/09,A00120,A,219,400,550,1,400,550,150
A1000044,2020/07/09,A00120,A,229,46,86,1,46,86,40
A1000044,2020/07/09,A00120,A,350,130,300,1,130,300,170
A1000044,2020/07/09,A00120,A,359,90,150,4,360,600,240
A1000044,2020/07/09,A00120,A,383,40,65,1,40,65,25
A1000044,2020/07/09,A00120,A,390,100,170,1,100,170,70
A1000044,2020/07/09,A00120,A,407,95,165,4,380,660,280
A1000044,2020/07/09,A00120,A,444,100,170,1,100,170,70
A1000045,2020/03/17,A00121,A,219,400,550,2,800,1100,300
A1000045,2020/03/17,A00121,A,229,46,86,1,46,86,40
A1000045,2020/03/17,A00121,A,350,130,300,1,130,300,170
A1000045,2020/03/17,A00121,A,359,90,150,1,90,150,60
A1000045,2020/03/17,A00121,A,383,40,65,1,40,65,25
A1000045,2020/03/17,A00121,A,390,100,170,2,200,340,140
A1000045,2020/03/17,A00121,A,407,95,165,1,95,165,70
A1000045,2020/03/17,A00121,A,444,100,170,1,100,170,70
A1000046,2020/06/22,A00122,A,219,400,550,1,400,550,150
A1000046,2020/06/22,A00122,A,229,46,86,1,46,86,40
A1000046,2020/06/22,A00122,A,350,130,300,1,130,300,170
A1000046,2020/06/22,A00122,A,359,90,150,1,90,150,60
A1000046,2020/06/22,A00122,A,383,40,65,1,40,65,25
A1000046,2020/06/22,A00122,A,390,100,170,1,100,170,70
A1000046,2020/06/22,A00122,A,407,95,165,1,95,165,70
A1000046,2020/06/22,A00122,A,444,100,170,1,100,170,70
A1000047,2020/02/07,A00123,A,219,400,550,1,400,550,150
A1000047,2020/02/07,A00123,A,229,46,86,3,138,258,120
A1000047,2020/02/07,A00123,A,350,130,300,1,130,300,170
A1000047,2020/02/07,A00123,A,359,90,150,5,450,750,300
A1000047,2020/02/07,A00123,A,383,40,65,1,40,65,25
A1000047,2020/02/07,A00123,A,390,100,170,1,100,170,70
A1000047,2020/02/07,A00123,A,407,95,165,1,95,165,70
A1000047,2020/02/07,A00123,A,444,100,170,1,100,170,70
A1000048,2020/05/26,A00125,A,219,400,550,1,400,550,150
A1000048,2020/05/26,A00125,A,229,46,86,3,138,258,120
A1000048,2020/05/26,A00125,A,350,130,300,1,130,300,170
A1000048,2020/05/26,A00125,A,359,90,150,1,90,150,60
A1000048,2020/05/26,A00125,A,383,40,65,1,40,65,25
A1000048,2020/05/26,A00125,A,390,100,170,1,100,170,70
A1000048,2020/05/26,A00125,A,407,95,165,1,95,165,70
A1000048,2020/05/26,A00125,A,444,100,170,1,100,170,70
A1000049,2020/08/26,A00126,A,219,400,550,1,400,550,150
A1000049,2020/08/26,A00126,A,229,46,86,1,46,86,40
A1000049,2020/08/26,A00126,A,350,130,300,1,130,300,170
A1000049,2020/08/26,A00126,A,359,90,150,1,90,150,60
A1000049,2020/08/26,A00126,A,383,40,65,1,40,65,25
A1000049,2020/08/26,A00126,A,390,100,170,1,100,170,70
A1000049,2020/08/26,A00126,A,407,95,165,1,95,165,70
A1000049,2020/08/26,A00126,A,444,100,170,1,100,170,70
A1000050,2020/05/11,A00134,A,219,400,550,1,400,550,150
A1000050,2020/05/11,A00134,A,229,46,86,1,46,86,40
A1000050,2020/05/11,A00134,A,359,90,150,1,90,150,60
A1000050,2020/05/11,A00134,A,383,40,65,1,40,65,25
A1000050,2020/05/11,A00134,A,390,100,170,1,100,170,70
A1000050,2020/05/11,A00134,A,407,95,165,1,95,165,70
A1000050,2020/05/11,A00134,A,444,100,170,1,100,170,70
A1000051,2020/05/02,A00135,A,219,400,550,1,400,550,150
A1000051,2020/05/02,A00135,A,229,46,86,1,46,86,40
A1000051,2020/05/02,A00135,A,359,90,150,5,450,750,300
A1000051,2020/05/02,A00135,A,383,40,65,1,40,65,25
A1000051,2020/05/02,A00135,A,390,100,170,1,100,170,70
A1000051,2020/05/02,A00135,A,407,95,165,1,95,165,70
A1000051,2020/05/02,A00135,A,444,100,170,1,100,170,70
A1000052,2020/06/15,A00136,A,219,400,550,1,400,550,150
A1000052,2020/06/15,A00136,A,229,46,86,1,46,86,40
A1000052,2020/06/15,A00136,A,359,90,150,1,90,150,60
A1000052,2020/06/15,A00136,A,383,40,65,1,40,65,25
A1000052,2020/06/15,A00136,A,390,100,170,1,100,170,70
A1000052,2020/06/15,A00136,A,407,95,165,2,190,330,140
A1000052,2020/06/15,A00136,A,444,100,170,2,200,340,140
A1000053,2020/09/06,A00138,A,219,400,550,1,400,550,150
A1000053,2020/09/06,A00138,A,229,46,86,1,46,86,40
A1000053,2020/09/06,A00138,A,359,90,150,1,90,150,60
A1000053,2020/09/06,A00138,A,383,40,65,1,40,65,25
A1000053,2020/09/06,A00138,A,390,100,170,1,100,170,70
A1000053,2020/09/06,A00138,A,407,95,165,1,95,165,70
A1000053,2020/09/06,A00138,A,444,100,170,1,100,170,70
A1000054,2020/08/27,A00139,A,219,400,550,1,400,550,150
A1000054,2020/08/27,A00139,A,229,46,86,1,46,86,40
A1000054,2020/08/27,A00139,A,350,130,300,1,130,300,170
A1000054,2020/08/27,A00139,A,359,90,150,2,180,300,120
A1000054,2020/08/27,A00139,A,383,40,65,1,40,65,25
A1000054,2020/08/27,A00139,A,390,100,170,1,100,170,70
A1000054,2020/08/27,A00139,A,407,95,165,1,95,165,70
A1000054,2020/08/27,A00139,A,444,100,170,1,100,170,70
A1000055,2020/06/20,A00143,A,219,400,550,5,2000,2750,750
A1000055,2020/06/20,A00143,A,229,46,86,1,46,86,40
A1000055,2020/06/20,A00143,A,350,130,300,1,130,300,170
A1000055,2020/06/20,A00143,A,359,90,150,1,90,150,60
A1000055,2020/06/20,A00143,A,383,40,65,2,80,130,50
A1000055,2020/06/20,A00143,A,390,100,170,1,100,170,70
A1000055,2020/06/20,A00143,A,407,95,165,1,95,165,70
A1000055,2020/06/20,A00143,A,444,100,170,1,100,170,70
A1000056,2020/12/06,A00149,A,219,400,550,1,400,550,150
A1000056,2020/12/06,A00149,A,229,46,86,1,46,86,40
A1000056,2020/12/06,A00149,A,350,130,300,1,130,300,170
A1000056,2020/12/06,A00149,A,359,90,150,1,90,150,60
A1000056,2020/12/06,A00149,A,383,40,65,1,40,65,25
A1000056,2020/12/06,A00149,A,390,100,170,2,200,340,140
A1000056,2020/12/06,A00149,A,407,95,165,2,190,330,140
A1000056,2020/12/06,A00149,A,444,100,170,1,100,170,70
A1000057,2020/09/17,A00151,A,219,400,550,1,400,550,150
A1000057,2020/09/17,A00151,A,229,46,86,1,46,86,40
A1000057,2020/09/17,A00151,A,359,90,150,1,90,150,60
A1000057,2020/09/17,A00151,A,383,40,65,1,40,65,25
A1000057,2020/09/17,A00151,A,390,100,170,6,600,1020,420
A1000057,2020/09/17,A00151,A,407,95,165,1,95,165,70
A1000057,2020/09/17,A00151,A,444,100,170,1,100,170,70
A1000058,2020/03/03,A00153,A,219,400,550,1,400,550,150
A1000058,2020/03/03,A00153,A,229,46,86,1,46,86,40
A1000058,2020/03/03,A00153,A,359,90,150,1,90,150,60
